"estado","juntos hacemos historia","pan","morena","va por mexico","pri","mc","pvem"
"01",1,2,0,0,0,0,0
"02",0,0,6,2,0,0,0
"03",1,0,0,1,0,0,0
"04",0,0,1,1,0,0,0
"05",3,1,0,0,3,0,0
"06",0,0,1,1,0,0,0
"07",10,0,0,3,0,0,0
"08",4,0,0,5,0,0,0
"09",0,0,10,13,0,1,0
"10",2,0,0,2,0,0,0
"11",0,8,4,0,2,0,1
"12",5,0,0,4,0,0,0
"13",4,0,0,3,0,0,0
"14",6,0,0,7,0,7,0
"15",0,0,17,20,0,2,2
"16",0,0,5,6,0,0,1
"17",0,1,3,0,1,0,0
"18",2,0,0,1,0,0,0
"19",2,4,0,0,4,2,0
"20",7,0,0,3,0,0,0
"21",8,0,0,6,0,1,0
"22",0,3,1,0,1,0,0
"23",3,0,0,1,0,0,0
"24",4,0,0,3,0,0,0
"25",4,0,0,3,0,0,0
"26",4,0,0,3,0,0,0
"27",0,0,5,1,0,0,0
"28",4,4,0,0,1,0,0
"29",2,0,0,1,0,0,0
"30",11,0,0,8,0,1,0
"31",0,2,2,0,1,0,0
"32",2,0,0,2,0,0,0
