"estado","morena","pan","pri","pvem","pt","mc","prd"
"01",1,2,0,0,0,0,0
"02",6,2,0,0,0,0,0
"03",1,1,0,0,0,0,0
"04",1,0,1,0,0,0,0
"05",3,1,3,0,0,0,0
"06",1,0,0,1,0,0,0
"07",7,0,2,3,1,0,0
"08",3,4,1,0,0,1,0
"09",11,7,4,0,0,1,1
"10",2,1,1,0,0,0,0
"11",4,8,2,1,0,0,0
"12",5,0,3,0,0,0,1
"13",4,0,3,0,0,0,0
"14",5,4,3,0,0,8,0
"15",17,6,13,2,0,2,1
"16",5,2,2,1,0,0,2
"17",3,1,1,0,0,0,0
"18",2,0,0,0,0,1,0
"19",2,4,4,0,0,2,0
"20",6,0,3,0,1,0,0
"21",6,3,3,1,1,1,0
"22",1,3,1,0,0,0,0
"23",3,1,0,0,0,0,0
"24",2,2,1,2,0,0,0
"25",5,0,2,0,0,0,0
"26",4,1,2,0,0,0,0
"27",5,0,0,0,0,0,1
"28",4,4,1,0,0,0,0
"29",2,0,1,0,0,0,0
"30",10,4,3,1,0,1,1
"31",2,2,1,0,0,0,0
"32",2,0,2,0,0,0,0
